hour,AI Agents & DevTools,AI Infra & Compute,Deep Tech & Hardware,Bio & Health,Fintech & Crypto,GTM & Sales,Fundraising & Investing,"Creator, Media & Consumer",Enterprise & SaaS,Global Founders,Cybersecurity,Climate,People & Hiring,Women-focused
6,0,0,1,1,1,0,1,0,0,0,0,0,0,0
7,1,0,3,3,4,2,6,2,6,0,0,1,2,4
8,10,8,13,8,5,11,22,23,22,5,2,1,6,9
9,25,15,27,11,7,16,31,26,36,8,10,0,11,7
10,12,11,13,5,9,15,20,16,35,9,3,0,12,4
11,9,13,13,4,3,9,24,13,19,5,3,0,4,5
12,14,6,20,3,11,11,25,10,28,14,5,3,4,3
13,18,13,15,4,8,8,20,20,25,5,8,1,2,2
14,8,9,11,9,5,15,19,28,20,9,1,2,8,7
15,6,8,19,7,8,13,31,20,24,9,2,4,4,4
16,27,15,26,13,12,29,29,31,44,8,4,0,4,8
17,75,41,80,34,25,33,73,48,91,24,13,9,15,17
18,70,40,82,34,40,41,84,83,112,32,10,3,14,9
19,18,20,20,6,14,11,23,40,40,5,4,0,2,10
20,2,1,5,1,0,5,4,13,6,2,0,0,0,0
21,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
