,events,Morning (6-11),Midday (12-16),Evening (17+),median_start_hour
People & Hiring,88,39.8,25.0,35.2,14.0
Women-focused,89,32.6,27.0,40.4,15.0
Cybersecurity,65,27.7,30.8,41.5,15.0
GTM & Sales,221,24.0,34.4,41.6,16.0
Fundraising & Investing,413,25.2,30.0,44.8,16.0
Global Founders,135,20.0,33.3,46.7,16.0
Enterprise & SaaS,509,23.2,27.7,49.1,16.0
"Creator, Media & Consumer",374,21.4,29.1,49.5,16.0
Climate,24,8.3,41.7,50.0,16.0
AI Infra & Compute,200,23.5,25.5,51.0,17.0
Fintech & Crypto,153,19.0,28.8,52.3,17.0
Bio & Health,143,22.4,25.2,52.4,17.0
Deep Tech & Hardware,349,20.1,26.1,53.9,17.0
AI Agents & DevTools,295,19.3,24.7,55.9,17.0
