neighborhood_clean,AI Agents & DevTools,AI Infra & Compute,Bio & Health,Climate,"Creator, Media & Consumer",Cybersecurity,Deep Tech & Hardware,Enterprise & SaaS,Fintech & Crypto,Fundraising & Investing,GTM & Sales,Global Founders,People & Hiring,Women-focused
SOMA,1.11,0.88,0.65,0.45,1.14,0.98,0.93,1.14,1.04,1.09,1.28,1.23,1.27,0.82
FiDi,1.19,0.89,0.84,1.66,0.69,1.71,0.84,1.02,0.96,0.92,0.88,0.87,0.9,1.15
Downtown,1.04,1.26,0.83,0.29,0.84,1.15,1.02,1.01,0.99,1.23,1.1,1.33,0.51,0.75
Mission,0.87,1.54,0.91,1.41,1.68,0.26,1.03,0.82,0.41,0.72,0.54,0.93,0.42,1.65
Embarcadero,0.9,0.74,1.03,2.14,0.52,1.94,1.09,0.77,0.77,1.15,0.82,0.88,2.22,0.83
Union Square,1.04,0.91,1.27,1.13,0.97,1.23,1.58,1.38,1.14,0.73,0.74,1.88,1.01,0.0
Palo Alto,1.03,0.88,1.54,0.0,1.17,0.7,0.97,0.52,0.55,1.03,1.05,0.32,0.57,1.49
Dogpatch,0.6,2.04,1.26,0.0,0.84,0.71,1.38,0.88,0.85,0.84,0.65,0.65,1.17,0.51
Jackson Square,0.66,0.98,1.72,0.0,0.91,1.55,1.22,0.86,1.23,1.38,1.4,0.0,1.9,1.11
Marina,0.35,1.04,3.27,2.27,1.11,0.82,1.15,0.71,1.31,1.09,0.5,0.0,0.0,2.35
Mission Bay,0.57,1.15,1.2,0.0,0.76,0.9,0.95,1.68,1.44,0.4,1.91,0.0,0.0,0.65
Hayes Valley,1.03,0.92,3.43,0.0,1.14,0.0,0.68,0.24,0.0,0.86,0.29,0.88,3.16,4.85
